Feature,Feature Importance,Absolute_Impact
Age_Group_indexed,0.2671214076058918,0.2671214076058918
Marital_Status_indexed,0.13167919603534115,0.13167919603534115
Chemotherapy_indexed,0.08930699194388168,0.08930699194388168
Regional_Nodes_Examined,0.07748848440498657,0.07748848440498657
Tumor_Size,0.06388264113024975,0.06388264113024975
Hormone_Status_indexed,0.05746955445359699,0.05746955445359699
Tumor_Size_Group_indexed,0.04771170743512152,0.04771170743512152
Node_Ratio,0.041741594204681945,0.041741594204681945
Radiation_indexed,0.040334202592879766,0.040334202592879766
Surgery_Radiation_Sequence_indexed,0.03427710235776543,0.03427710235776543
AJCC_M_indexed,0.029198116363680998,0.029198116363680998
Regional_Nodes_Positive,0.028167198091527092,0.028167198091527092
Histologic_Type_indexed,0.026290273731310966,0.026290273731310966
Surgery_Primary_Site_indexed,0.024690348174749334,0.024690348174749334
AJCC_Stage_indexed,0.016875820887967234,0.016875820887967234
Laterality_indexed,0.012646974734473961,0.012646974734473961
AJCC_T_indexed,0.0041443813780940334,0.0041443813780940334
Race_indexed,0.0019638504322183653,0.0019638504322183653
Grade_indexed,0.0018445310797842577,0.0018445310797842577
Sex_indexed,0.0012658614060998478,0.0012658614060998478
AJCC_N_indexed,0.0008253771558058197,0.0008253771558058197
Surgery_Other_Regional_indexed,0.0005590527396553482,0.0005590527396553482
Age,0.0005153316602360327,0.0005153316602360327
Diagnostic_Confirmation_indexed,0.0,0.0
