Feature,Importance,Absolute_Impact
Age_Group_indexed,0.24927057343649023,0.24927057343649023
Marital_Status_indexed,0.13757213172635738,0.13757213172635738
Chemotherapy_indexed,0.1088037767270805,0.1088037767270805
Regional_Nodes_Examined,0.08962332548826904,0.08962332548826904
Tumor_Size,0.06569436580799758,0.06569436580799758
Hormone_Status_indexed,0.062307016435450766,0.062307016435450766
Node_Ratio,0.04498314436317896,0.04498314436317896
Radiation_indexed,0.03844065696921302,0.03844065696921302
Surgery_Radiation_Sequence_indexed,0.036389757524398124,0.036389757524398124
AJCC_M_indexed,0.032346730861983745,0.032346730861983745
Regional_Nodes_Positive,0.03218354309837502,0.03218354309837502
Surgery_Primary_Site_indexed,0.02535889243369289,0.02535889243369289
Tumor_Size_Group_indexed,0.021766776658264306,0.021766776658264306
AJCC_Stage_indexed,0.017478670697196122,0.017478670697196122
Laterality_indexed,0.013842600428600763,0.013842600428600763
Histologic_Type_indexed,0.01016708962874972,0.01016708962874972
Race_indexed,0.004524051112497863,0.004524051112497863
AJCC_T_indexed,0.003640217110898151,0.003640217110898151
Sex_indexed,0.0029483955874233434,0.0029483955874233434
Surgery_Other_Regional_indexed,0.000936289149212421,0.000936289149212421
